ticker,name,url
TMCV,Tata Motors,https://www.screener.in/company/TMCV/consolidated/
SBILIFE,SBI Life Insuran,https://www.screener.in/company/SBILIFE/
WIPRO,Wipro,https://www.screener.in/company/WIPRO/consolidated/
MOTHERSON,Samvardh. Mothe.,https://www.screener.in/company/MOTHERSON/consolidated/
PIDILITIND,Pidilite Inds.,https://www.screener.in/company/PIDILITIND/consolidated/
DLF,DLF,https://www.screener.in/company/DLF/consolidated/
IDEA,Vodafone Idea,https://www.screener.in/company/IDEA/consolidated/
ABB,A B B,https://www.screener.in/company/ABB/
CHOLAFIN,Cholaman.Inv.&Fn,https://www.screener.in/company/CHOLAFIN/consolidated/
ICICIAMC,ICICI AMC,https://www.screener.in/company/ICICIAMC/
JIOFIN,Jio Financial,https://www.screener.in/company/JIOFIN/consolidated/
TATACAP,Tata Capital,https://www.screener.in/company/TATACAP/consolidated/
TRENT,Trent,https://www.screener.in/company/TRENT/consolidated/
TECHM,Tech Mahindra,https://www.screener.in/company/TECHM/consolidated/
POWERINDIA,Hitachi Energy,https://www.screener.in/company/POWERINDIA/
BOSCHLTD,Bosch,https://www.screener.in/company/BOSCHLTD/consolidated/
BHEL,B H E L,https://www.screener.in/company/BHEL/consolidated/
CUMMINSIND,Cummins India,https://www.screener.in/company/CUMMINSIND/consolidated/
SIEMENS,Siemens,https://www.screener.in/company/SIEMENS/consolidated/
UNIONBANK,Union Bank (I),https://www.screener.in/company/UNIONBANK/consolidated/
VBL,Varun Beverages,https://www.screener.in/company/VBL/consolidated/
BPCL,B P C L,https://www.screener.in/company/BPCL/consolidated/
POLYCAB,Polycab India,https://www.screener.in/company/POLYCAB/consolidated/
CGPOWER,CG Power & Ind,https://www.screener.in/company/CGPOWER/consolidated/
BSE,BSE,https://www.screener.in/company/BSE/consolidated/
PNB,Punjab Natl.Bank,https://www.screener.in/company/PNB/consolidated/
LTM,LTM,https://www.screener.in/company/LTM/consolidated/
BAJAJHLDNG,Bajaj Holdings,https://www.screener.in/company/BAJAJHLDNG/consolidated/
BRITANNIA,Britannia Inds.,https://www.screener.in/company/BRITANNIA/consolidated/
MUTHOOTFIN,Muthoot Finance,https://www.screener.in/company/MUTHOOTFIN/consolidated/
LODHA,Lodha Developers,https://www.screener.in/company/LODHA/consolidated/
