Ticker,Company Name,Book Value,Current Price,Debt to Equity,Dividend Yield,EPS (ttm),EV/EBITDA,Face Value,High / Low,Industry,Industry P/E,Market Cap,Price to Sales,Profit Growth,Promoter Holding,ROCE,ROE,ROE (3yr avg),Sales Growth,Sector,Stock P/E,URL
INFY,Infosys Ltd,225,"1,120",,4.29,,,5.00,"1,728",Computers - Software & Consulting,,"4,54,900",,,,40.0,31.9,,,Information Technology,14.6,https://www.screener.in/company/INFY/consolidated/
TITAN,Titan Company Ltd,177,"5,100",,0.29,,,1.00,"5,169","Gems, Jewellery And Watches",,"4,53,638",,,,20.5,37.7,,,Consumer Discretionary,77.7,https://www.screener.in/company/TITAN/consolidated/
MARUTI,Maruti Suzuki India Ltd,"3,408","13,520",,1.04,,,5.00,"17,372",Passenger Cars & Utility Vehicles,,"4,25,944",,,,18.9,14.3,,,Consumer Discretionary,29.7,https://www.screener.in/company/MARUTI/consolidated/
M&M,Mahindra & Mahindra Ltd,749,"3,398",,0.97,,,5.00,"3,840",Passenger Cars & Utility Vehicles,,"4,23,123",,,,15.1,20.3,,,Consumer Discretionary,22.1,https://www.screener.in/company/M&M/consolidated/
ADANIENT,Adani Enterprises Ltd,627,"3,112",,0.04,,,1.00,"3,245",Trading - Minerals,,"4,21,662",,,,5.80,-3.38,,,Commodities,178,https://www.screener.in/company/ADANIENT/consolidated/
KOTAKBANK,Kotak Mahindra Bank Ltd,182,417,,0.16,,,1.00,453,Private Sector Bank,,"4,14,106",,,,6.98,11.4,,,Financial Services,20.7,https://www.screener.in/company/KOTAKBANK/consolidated/
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,416,"1,692",,0.44,,,2.00,"1,892",Port & Port services,,"3,91,485",,,,14.1,16.4,,,Services,29.5,https://www.screener.in/company/ADANIPORTS/consolidated/
AXISBANK,Axis Bank Ltd,712,"1,255",,0.08,,,2.00,"1,418",Private Sector Bank,,"3,89,880",,,,6.24,13.1,,,Financial Services,14.0,https://www.screener.in/company/AXISBANK/consolidated/
HCLTECH,HCL Technologies Ltd,277,"1,298",,4.16,,,2.00,"1,780",Computers - Software & Consulting,,"3,53,390",,,,30.4,23.8,,,Information Technology,19.5,https://www.screener.in/company/HCLTECH/consolidated/
ULTRACEMCO,UltraTech Cement Ltd,"2,600","11,717",,2.05,,,10.0,"13,110",Cement & Cement Products,,"3,45,425",,,,12.7,11.1,,,Commodities,40.0,https://www.screener.in/company/ULTRACEMCO/consolidated/
ITC,ITC Ltd,57.9,270,,5.37,,,1.00,427,Diversified FMCG,,"3,39,117",,,,38.9,29.3,,,Fast Moving Consumer Goods,17.2,https://www.screener.in/company/ITC/consolidated/
